order_id,order_date,customer_id,segment,region,category,product,quantity,unit_price,discount,status,revenue
O001,2025-01-03,C001,Retail,North,Technology,Laptop,1,1250.0,0.05,Delivered,1187.5
O002,2025-01-05,C002,Corporate,South,Furniture,Office Chair,2,180.0,0.1,Delivered,324.0
O003,2025-01-07,C003,Home Office,North,Office Supplies,Printer Paper,5,12.5,0.0,Delivered,62.5
O004,2025-01-09,C004,Retail,Central,Technology,Headset,3,45.0,0.05,Delayed,128.25
O005,2025-01-11,C005,Corporate,South,Furniture,Desk,1,350.0,0.15,Delivered,297.5
O006,2025-01-15,C006,Retail,West,Technology,Monitor,2,220.0,0.08,Delivered,404.8
O007,2025-01-18,C007,Home Office,Central,Office Supplies,Notebook,10,3.5,0.0,Cancelled,35.0
O008,2025-01-20,C008,Retail,North,Technology,Mouse,4,18.0,0.0,Delivered,72.0
O009,2025-01-23,C009,Corporate,West,Furniture,Cabinet,1,480.0,0.12,Delayed,422.4
O010,2025-01-25,C010,Home Office,South,Office Supplies,Pen Set,8,6.0,0.0,Delivered,48.0
O011,2025-02-02,C011,Retail,North,Technology,Tablet,1,550.0,0.05,Delivered,522.5
O012,2025-02-04,C012,Corporate,Central,Furniture,Meeting Table,1,900.0,0.2,Delivered,720.0
